iter	MultiClass
330	0.2569149734
331	0.2567017763
332	0.2564509066
333	0.2562426494
334	0.256022059
335	0.2557354396
336	0.2553963948
337	0.2552701737
338	0.2549968247
339	0.254836148
340	0.2546720178
341	0.2543842769
342	0.2542023186
343	0.2539410207
344	0.2537700878
345	0.2535899449
346	0.2534548256
347	0.2533245963
348	0.2532146293
349	0.2531081987
350	0.2529540951
351	0.2528196792
352	0.2525151752
353	0.2523053708
354	0.2520474823
355	0.251808685
356	0.2516262277
357	0.251483669
358	0.2513253867
359	0.2511175033
360	0.2509052735
361	0.2507338793
362	0.2504744479
363	0.2502261709
364	0.2499516718
365	0.249635592
366	0.2493956641
367	0.2491863824
368	0.2489574682
369	0.248781946
370	0.2484263038
371	0.2480799858
372	0.2478965626
373	0.2477091785
374	0.2476368933
375	0.2474461408
376	0.2472900027
377	0.2470937575
378	0.2468093552
379	0.2465204674
380	0.2463499512
381	0.2461456668
382	0.245983538
383	0.2458094962
384	0.2457049382
385	0.2454875769
386	0.245221828
387	0.2450350035
388	0.2448485538
389	0.2447108948
390	0.2445280531
391	0.2443737931
392	0.2441511319
393	0.2439061608
394	0.2437161275
395	0.2435871457
396	0.2434439629
397	0.243263504
398	0.2430790581
399	0.2429598254
400	0.2427428751
401	0.2425392231
402	0.2422912136
403	0.24206678
404	0.2418668869
405	0.2417299573
406	0.2415679019
407	0.2414337964
408	0.2413058614
409	0.2411260059
410	0.2409180839
411	0.2407467068
412	0.2405706539
413	0.240259839
414	0.240047025
415	0.239829116
416	0.2397117347
417	0.2394096771
418	0.2392514148
419	0.2390402965
420	0.2389000435
421	0.238689494
422	0.2385714516
423	0.238382194
424	0.2382752585
425	0.2381036299
426	0.2379221558
427	0.237716229
428	0.237567317
429	0.2373435273
430	0.2371650653
431	0.2369684531
432	0.2368735583
433	0.2367048915
434	0.2365118332
435	0.2363563763
436	0.236185229
437	0.2359846219
438	0.2358789028
439	0.2356708398
440	0.2353730041
441	0.2350624695
442	0.2349194707
443	0.2346748578
444	0.2345463021
445	0.2343806777
446	0.2342459626
447	0.2340977164
448	0.2338253462
449	0.233637991
450	0.2334397042
451	0.2332629102
452	0.233040462
453	0.2328995123
454	0.2327721949
455	0.2326475209
456	0.2324861784
457	0.2322775127
458	0.2321027599
459	0.2319751009
460	0.231788862
461	0.2316602502
462	0.231580854
463	0.231360256
464	0.2312079823
465	0.2310469617
466	0.2309294327
467	0.230785407
468	0.2306417092
469	0.230464424
470	0.2303098249
471	0.2301009235
472	0.2299747574
473	0.2298134862
474	0.2296402872
475	0.2294550233
476	0.2292443157
477	0.2290520953
478	0.2287932159
479	0.2286394096
480	0.2285122841
481	0.2283297575
482	0.228161135
483	0.2279481122
484	0.2278054977
485	0.2276756714
486	0.2274328846
487	0.2272484453
488	0.2270731122
489	0.2268838952
490	0.2266887746
491	0.2265164205
492	0.2263534135
493	0.2262193391
494	0.2259501066
495	0.2258196671
496	0.2256765672
497	0.2255209624
498	0.2253817514
499	0.2252298745
500	0.2251328562
501	0.2249956079
502	0.2248905649
503	0.2247641484
504	0.2246556748
505	0.2245596485
506	0.2244258829
507	0.2242830648
508	0.2241580217
509	0.2240391095
510	0.2238858478
511	0.2237275419
512	0.2235951914
513	0.223462304
514	0.223239333
515	0.2231384369
516	0.2230330962
517	0.2229573769
518	0.2228122177
519	0.2226592544
520	0.222552041
521	0.2223870903
522	0.2222179678
523	0.2220605101
524	0.2218101942
525	0.2216970953
526	0.2215765874
527	0.2214330671
528	0.2212406036
529	0.2210894249
530	0.2209722671
531	0.2208343266
532	0.2207100621
533	0.220588579
534	0.2204130512
535	0.2202611042
536	0.2201358727
537	0.2199309598
538	0.2197989483
539	0.2197442514
540	0.2195935839
541	0.2194612465
542	0.2192038428
543	0.2190256713
544	0.2188665584
545	0.2187515411
546	0.2186477768
547	0.2184908196
548	0.218383481
549	0.2182474281
550	0.2180769774
551	0.2179884279
552	0.2178958071
553	0.217747369
554	0.2175560561
555	0.2174301228
556	0.21734008
557	0.2171281649
558	0.2169503477
559	0.216841203
560	0.2166624653
561	0.2164088626
562	0.2162216146
563	0.2160586784
564	0.2158606639
565	0.215697221
566	0.2154660912
567	0.2153483831
568	0.2152237375
569	0.215114564
570	0.2149587967
571	0.2147964391
572	0.2146898352
573	0.2145722032
574	0.2144701379
575	0.214326997
576	0.2142527567
577	0.2141500052
578	0.2140038538
579	0.2138238355
580	0.213656763
581	0.213459424
582	0.2133664709
583	0.2132254639
584	0.213134148
585	0.2129973428
586	0.2128737724
587	0.2126968923
588	0.2126150785
589	0.2125156878
590	0.2123332718
591	0.2122129953
592	0.2119805455
593	0.2118680101
594	0.2116933826
595	0.2115295503
596	0.2114195419
597	0.2113102798
598	0.2111958909
599	0.2110945193
600	0.2109308242
601	0.2107701982
602	0.2106764792
603	0.2105176245
604	0.2103922039
605	0.2102558454
606	0.2101884846
607	0.2100939359
608	0.2099565704
609	0.2098914585
610	0.2097790867
611	0.2096029223
612	0.2095072323
613	0.2093875104
614	0.2091998505
615	0.2090936176
616	0.2090004548
617	0.2089080442
618	0.2087619163
619	0.2085891473
620	0.208447426
621	0.2082843571
622	0.2082037654
623	0.2081061552
624	0.2080184825
625	0.2078798251
626	0.2077804185
627	0.2076921268
628	0.2075863367
629	0.2074771228
630	0.2073132013
631	0.2072510315
632	0.207084374
633	0.2068764681
634	0.2067987139
635	0.2067313133
636	0.2065527634
637	0.206457989
638	0.2063667536
639	0.2062148282
640	0.2060941375
641	0.2059985775
642	0.2059167112
643	0.2057850692
644	0.2056323251
645	0.2054228948
646	0.2053297205
647	0.2051801889
648	0.2050767538
649	0.2049240528
650	0.2047950579
651	0.2046055828
652	0.2045239334
653	0.2043891736
654	0.2042817613
655	0.2040876761
656	0.203972514
657	0.2038713203
658	0.2037427381
659	0.2035981355
660	0.2034369633
661	0.2033353608
662	0.2032044535
663	0.2031287063
664	0.2030435227
665	0.2029015129
666	0.202773678
667	0.2026714712
668	0.2025500192
669	0.2024456316
670	0.2023446141
671	0.2022245687
672	0.2021140863
673	0.2020028949
674	0.2018598279
675	0.2017296886
676	0.2016322738
677	0.2015115349
678	0.2013961455
679	0.2012026028
680	0.2010396866
681	0.200955484
682	0.2008522501
683	0.2007550912
684	0.2006727382
685	0.2005004626
686	0.2004417119
687	0.2003179038
688	0.2002246075
689	0.2000862216
690	0.1999978308
691	0.1998690721
692	0.1996797035
693	0.199569845
694	0.1994799372
695	0.1993227563
696	0.1991852035
697	0.1990914968
698	0.198986194
699	0.1989071581
700	0.1987820594
701	0.1986701423
702	0.1985842017
703	0.198486596
704	0.1983753461
705	0.1982280325
706	0.1981531526
707	0.1980331846
708	0.1979327484
709	0.1977719329
710	0.1976937723
711	0.1975764203
712	0.1975290834
713	0.1974366533
714	0.1973325694
715	0.1972481481
716	0.1971295444
717	0.1970764809
718	0.1969725538
719	0.1968682045
720	0.1967821217
721	0.1967184248
722	0.1965752497
723	0.1965046469
724	0.1963825307
725	0.1962734479
726	0.1961449003
727	0.1959431952
728	0.1958397181
729	0.1957603749
730	0.1956782736
731	0.1955737177
732	0.1954633575
733	0.1953443447
734	0.1952700279
735	0.1951988572
736	0.1951086203
737	0.1949451789
738	0.1948354224
739	0.1947557721
740	0.1946100364
741	0.1944918583
742	0.1944294322
743	0.1942462025
744	0.1941190807
745	0.1940114031
746	0.193860848
747	0.193811896
748	0.1936805115
749	0.1935948032
750	0.1934840802
751	0.1933916281
752	0.1932660431
753	0.1931672798
754	0.1931017711
755	0.1930300416
756	0.192964903
757	0.1928402052
758	0.1927338911
759	0.1926148208
760	0.1925666889
761	0.1924574605
762	0.1923378195
763	0.1921989763
764	0.1920706658
765	0.1919974206
766	0.1918832456
767	0.1917689983
768	0.1916956689
769	0.1914996679
770	0.1914196566
771	0.1913225711
772	0.1912395385
773	0.1911214324
774	0.1910479629
775	0.1909748552
776	0.1908937807
777	0.1907761222
778	0.1906503969
779	0.1905386481
780	0.1904995023
781	0.1904327952
782	0.1903017912
783	0.1901436834
784	0.190023488
785	0.1899068561
786	0.1898045238
787	0.1897171175
788	0.1896541896
789	0.1895746234
790	0.1895049735
791	0.1894026303
792	0.1892943471
793	0.189195421
794	0.1891542643
795	0.1890377902
796	0.1889183401
797	0.1887891152
798	0.1886428436
799	0.1885031146
800	0.1884168289
801	0.1883254808
802	0.1882170491
803	0.1881180364
804	0.1880493827
805	0.1879568125
806	0.1878581361
807	0.187750358
808	0.1876271226
809	0.1875367546
810	0.187429461
811	0.1873758413
812	0.1872499578
813	0.1871146492
814	0.1870353556
815	0.1869631002
816	0.1868838092
817	0.1867952973
818	0.1866858695
819	0.1865820299
820	0.186475216
821	0.1862933811
822	0.1861825512
823	0.1860542473
824	0.1859375612
825	0.1858375357
826	0.1857837497
827	0.1857009675
828	0.185629388
829	0.1854947605
830	0.1854049915
831	0.1853219071
832	0.1852113107
833	0.1850337683
834	0.1849571775
835	0.1848110981
836	0.1847124407
837	0.1846381081
838	0.1844781014
839	0.1843892561
840	0.184280482
841	0.1841647588
842	0.1840824964
843	0.1840017896
844	0.1838643415
845	0.1838017433
846	0.183694726
847	0.1835768446
848	0.1835161325
849	0.1833654263
850	0.1832674942
851	0.1832025434
852	0.1831254497
853	0.1830423143
854	0.1829490196
855	0.1828323165
856	0.182728251
857	0.1826194558
858	0.1825369393
859	0.1824335767
860	0.1823147113
861	0.1821500938
862	0.1820632064
863	0.1819323961
864	0.1818213134
865	0.1817171529
866	0.1816480562
867	0.1815561864
868	0.1814602565
869	0.1813570982
870	0.181262533
871	0.1811680334
872	0.1810594942
873	0.1809716113
874	0.1808976635
875	0.1808132688
876	0.180713666
877	0.1805725491
878	0.1804748254
879	0.1803505736
880	0.1803081866
881	0.1802375961
882	0.1801240686
883	0.1800183677
884	0.1799564494
885	0.1798922286
886	0.1798390021
887	0.1797707928
888	0.1796536644
889	0.1795492045
890	0.1795086962
891	0.1794266454
892	0.1793752848
893	0.1792807438
894	0.1792125918
895	0.1790825397
896	0.1789992648
897	0.1789165519
898	0.1788156737
899	0.1787626479
900	0.178671355
901	0.1785934578
902	0.17851873
903	0.1784054356
904	0.1783695481
905	0.1782850336
906	0.1782229305
907	0.1781208266
908	0.1780204908
909	0.1779462698
910	0.1778514244
911	0.1777451623
912	0.1776465166
913	0.1775245251
914	0.1774397666
915	0.1772928984
916	0.1771915329
917	0.1771541538
918	0.1770378477
919	0.1769027505
920	0.1767616656
921	0.1766889096
922	0.1766041069
923	0.1765081627
924	0.1763922474
925	0.1763078028
926	0.1762474903
927	0.1761585682
928	0.1759990334
929	0.1759556926
930	0.1758492506
931	0.175771223
932	0.1756561555
933	0.1755786016
934	0.1755106279
935	0.1753925029
936	0.1753239507
937	0.1752033762
938	0.1750929437
939	0.1750243812
940	0.174948313
941	0.1748839132
942	0.1748205773
943	0.1747494629
944	0.1746968279
945	0.1746370269
946	0.1745473665
947	0.1744744756
948	0.1744165958
949	0.1743475075
950	0.1742437556
951	0.174161842
952	0.1741084575
953	0.1740170254
954	0.1739313406
955	0.1738076337
956	0.1737146469
957	0.1736170306
958	0.1735323989
959	0.1734752419
960	0.1734106873
961	0.1733453465
962	0.1732934321
963	0.1732200509
964	0.1730878424
965	0.1729711346
966	0.1728727243
967	0.1728112228
968	0.1726876603
969	0.1725485146
970	0.1724087507
971	0.1723402762
972	0.1722510521
973	0.1721134641
974	0.1720177201
975	0.1719709118
976	0.1718842595
977	0.1717914752
978	0.171737588
979	0.1717037283
980	0.1716286512
981	0.171509646
982	0.1714305708
983	0.1713439848
984	0.1713057321
985	0.171206491
986	0.1711051705
987	0.1710525974
988	0.1709419584
989	0.1708850436
990	0.1707096689
991	0.170630811
992	0.1705572681
993	0.1704135621
994	0.170207878
995	0.1701222123
996	0.1700121916
997	0.1699534021
998	0.1698490132
999	0.1697291621
