iter	Passed	Remaining
422	2316	3159
423	2321	3154
424	2327	3149
425	2333	3144
426	2339	3139
427	2345	3134
428	2350	3128
429	2355	3122
430	2360	3116
431	2366	3111
432	2371	3105
433	2377	3100
434	2383	3095
435	2388	3089
436	2393	3084
437	2399	3078
438	2404	3073
439	2410	3068
440	2417	3063
441	2423	3059
442	2429	3054
443	2434	3048
444	2439	3042
445	2445	3038
446	2451	3032
447	2455	3026
448	2461	3020
449	2467	3015
450	2471	3009
451	2477	3003
452	2483	2998
453	2488	2992
454	2493	2986
455	2500	2982
456	2505	2976
457	2511	2972
458	2516	2966
459	2522	2961
460	2528	2956
461	2534	2951
462	2539	2944
463	2544	2939
464	2550	2933
465	2555	2928
466	2561	2923
467	2567	2918
468	2573	2913
469	2578	2907
470	2584	2902
471	2590	2897
472	2597	2893
473	2603	2889
474	2609	2883
475	2616	2879
476	2622	2875
477	2628	2870
478	2633	2864
479	2640	2860
480	2645	2854
481	2650	2848
482	2655	2842
483	2660	2836
484	2665	2830
485	2670	2824
486	2676	2819
487	2681	2813
488	2686	2807
489	2691	2801
490	2697	2796
491	2702	2790
492	2708	2785
493	2714	2780
494	2720	2775
495	2726	2770
496	2732	2765
497	2738	2760
498	2743	2754
499	2748	2748
500	2754	2743
501	2760	2738
502	2765	2732
503	2771	2727
504	2777	2722
505	2783	2717
506	2788	2711
507	2793	2705
508	2799	2700
509	2805	2695
510	2810	2689
511	2816	2684
512	2822	2679
513	2828	2674
514	2834	2669
515	2840	2663
516	2845	2658
517	2850	2652
518	2856	2647
519	2862	2641
520	2866	2635
521	2872	2630
522	2877	2624
523	2883	2619
524	2888	2613
525	2894	2608
526	2899	2602
527	2904	2596
528	2910	2591
529	2915	2585
530	2920	2579
531	2925	2573
532	2930	2567
533	2936	2562
534	2942	2557
535	2946	2551
536	2952	2545
537	2957	2539
538	2962	2534
539	2967	2528
540	2972	2522
541	2977	2516
542	2983	2510
543	2988	2504
544	2993	2499
545	2998	2493
546	3004	2487
547	3009	2482
548	3015	2477
549	3022	2472
550	3027	2466
551	3032	2460
552	3037	2455
553	3043	2449
554	3048	2444
555	3054	2438
556	3059	2433
557	3065	2428
558	3070	2422
559	3075	2416
560	3080	2410
561	3086	2405
562	3091	2399
563	3097	2394
564	3102	2388
565	3107	2383
566	3113	2377
567	3118	2371
568	3123	2365
569	3128	2359
570	3133	2354
571	3138	2348
572	3143	2342
573	3149	2337
574	3155	2332
575	3159	2326
576	3165	2320
577	3171	2315
578	3176	2309
579	3181	2303
580	3187	2298
581	3192	2293
582	3198	2287
583	3203	2282
584	3208	2276
585	3214	2271
586	3220	2265
587	3225	2260
588	3231	2254
589	3236	2249
590	3242	2244
591	3248	2238
592	3253	2232
593	3258	2227
594	3264	2221
595	3269	2216
596	3274	2210
597	3280	2205
598	3285	2199
599	3290	2193
600	3295	2188
601	3307	2186
602	3314	2181
603	3319	2176
604	3326	2171
605	3332	2166
606	3338	2161
607	3344	2156
608	3350	2151
609	3356	2145
610	3361	2140
611	3367	2134
612	3373	2129
613	3378	2124
614	3383	2118
615	3389	2112
616	3395	2107
617	3400	2101
618	3405	2096
619	3411	2091
620	3418	2086
621	3424	2080
622	3429	2075
623	3434	2069
624	3439	2063
625	3444	2057
626	3449	2051
627	3455	2046
628	3460	2040
629	3465	2035
630	3470	2029
631	3475	2023
632	3481	2018
633	3486	2012
634	3491	2006
635	3496	2001
636	3502	1995
637	3507	1990
638	3512	1984
639	3518	1978
640	3523	1973
641	3528	1967
642	3534	1962
643	3539	1956
644	3544	1950
645	3549	1944
646	3554	1939
647	3559	1933
648	3564	1927
649	3570	1922
650	3575	1916
651	3580	1911
652	3587	1906
653	3592	1900
654	3599	1895
655	3603	1889
656	3609	1884
657	3615	1878
658	3620	1873
659	3625	1867
660	3631	1862
661	3636	1856
662	3641	1851
663	3646	1845
664	3652	1839
665	3656	1833
666	3662	1828
667	3667	1823
668	3672	1817
669	3677	1811
670	3683	1805
671	3688	1800
672	3694	1794
673	3699	1789
674	3704	1783
675	3710	1778
676	3715	1772
677	3720	1767
678	3725	1761
679	3731	1755
